variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
reg-only,baseline reg-only JEPA,66,0.1,0.8579732106870482,0.8542065455066853,0.8582317073170732,0.9963090419769287,0.704956610231084,23,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.2,0.8402567269435248,0.8366560980063411,0.8399390243902439,0.8542884588241577,0.7224242651618225,47,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.3,0.8234862135809972,0.8194638196915778,0.823170731707317,0.9277592897415161,0.683207315644514,46,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.4,0.8027957272582188,0.7992750553123381,0.801829268292683,0.9340084791183472,0.6675537147755626,43,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.5,0.771124813756666,0.7640213709570336,0.7728658536585366,0.9913039207458496,0.6360684148503509,47,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.6,0.7587735599763992,0.7524362746971376,0.7591463414634146,1.0369089841842651,0.6017832492155596,35,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.7,0.7484152334954246,0.7398440446212425,0.7515243902439024,1.0496476888656616,0.5684601327003106,39,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.0,0.8759241832191255,0.872322941070463,0.8765243902439024,0.7784008979797363,0.7879494469232768,34,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.1,0.8539196250325491,0.8505907473309609,0.8536585365853658,0.8929510116577148,0.7525053449318229,32,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.2,0.8432994559541243,0.839767410425268,0.8429878048780488,0.9079759120941162,0.7414335329538179,32,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.3,0.8034543920211195,0.7974038507938039,0.8048780487804879,0.9554107189178467,0.6772081534060221,33,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.4,0.7720443138521302,0.764566661816771,0.774390243902439,0.9980211853981018,0.624253030902628,50,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.5,0.7563248071943369,0.7505300286167917,0.7560975609756098,1.0697795152664185,0.5834043970343372,32,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.6,0.7648713795731708,0.7565625,0.7682926829268293,1.0283292531967163,0.6154033641860608,33,per-rate-test-oracle
reg-only,baseline reg-only JEPA,67,0.7,0.7584601981416615,0.7498019656740502,0.7621951219512195,1.025009274482727,0.6025521949072326,42,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.0,0.8840889006716153,0.881159420289855,0.8841463414634146,0.7854614853858948,0.8028423440980323,35,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.1,0.8503785372005515,0.8464478159513891,0.850609756097561,0.8582811951637268,0.7553705159993818,31,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.2,0.8282756237117752,0.8246599190570693,0.8277439024390244,0.904035747051239,0.7222824692923605,35,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.3,0.8126674673951294,0.8069005452878444,0.8140243902439024,0.9232295155525208,0.6731781616457727,57,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.4,0.7953019114660203,0.7898220143650954,0.7957317073170732,0.9529718160629272,0.6748088977930372,31,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.5,0.7844917240857537,0.7804323845261778,0.7835365853658537,0.9930239319801331,0.6627766422479354,31,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.6,0.7599583040478328,0.7533521566598893,0.760670731707317,1.128225564956665,0.5521790559831944,23,per-rate-test-oracle
reg-only,baseline reg-only JEPA,68,0.7,0.6951832644715189,0.689965788452721,0.6935975609756098,1.1740882396697998,0.4552147414274133,33,per-rate-test-oracle
reg-only,baseline reg-only JEPA,69,0.0,0.8668194187546141,0.8630207345786722,0.8673780487804879,0.8098077178001404,0.7918629693156328,64,per-rate-test-oracle
reg-only,baseline reg-only JEPA,69,0.1,0.8382511595695769,0.8340825578620853,0.8384146341463414,0.841046154499054,0.7448397268402583,50,per-rate-test-oracle
reg-only,baseline reg-only JEPA,69,0.2,0.8138362402593243,0.8090384156525887,0.8140243902439024,0.8815673589706421,0.7157869152334985,52,per-rate-test-oracle
reg-only,baseline reg-only JEPA,69,0.3,0.8105778882222874,0.8055069386662075,0.8109756097560976,0.8844163417816162,0.7083552802824331,52,per-rate-test-oracle
